Metod: DELETE | statuskod: 200 | endpoint: /users/f223ebff-8c65-485a-be52-90b Måndag 13 juni 2022 Kl 17:07:34 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/f223ebff-8c65-485a-be52-90b Måndag 13 juni 2022 Kl 17:07:36 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/f223ebff-8c65-485a-be52-90b Måndag 13 juni 2022 Kl 17:08:32 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/f223ebff-8c65-485a-be52-90b Måndag 13 juni 2022 Kl 17:08:33 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/db1258c2-4880-4171-b053-04da2a8c40b3 Måndag 13 juni 2022 Kl 17:09:09 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/db1258c2-4880-4171-b053-04da2a8c40b3 Måndag 13 juni 2022 Kl 17:09:10 localhost:4000
Metod: GET | statuskod: 200 | endpoint: /users Måndag 13 juni 2022 Kl 17:09:17 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/register Måndag 13 juni 2022 Kl 17:09:33 localhost:4000
Metod: POST | statuskod: 200 | endpoint: /auth/register Måndag 13 juni 2022 Kl 17:09:38 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/db1258c2-4880-4171-b053-04da2a8c40b3 Måndag 13 juni 2022 Kl 17:10:17 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/db1258c2-4880-4171-b053-04da2a8c40b3 Måndag 13 juni 2022 Kl 17:10:19 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/db1258c2-4880-4171-b053-04da2a8c40b3 Måndag 13 juni 2022 Kl 17:10:20 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/db1258c2-4880-4171-b053-04da2a8c40b3 Måndag 13 juni 2022 Kl 17:10:20 localhost:4000
Metod: DELETE | statuskod: 200 | endpoint: /users/db1258c2-4880-4171-b053-04da2a8c40b3 Måndag 13 juni 2022 Kl 17:13:41 localhost:4000
Metod: DELETE | statuskod: 404 | endpoint: /users/db1258c2-4880-4171-b053-04da2a8c40b3 Måndag 13 juni 2022 Kl 17:15:02 localhost:4000
Metod: PATCH | statuskod: 200 | endpoint: /users/2653ad8f-6558-4dea-afe5-e99506948463 Måndag 13 juni 2022 Kl 17:15:14 localhost:4000
Metod: PATCH | statuskod: 200 | endpoint: /users/2653ad8f-6558-4dea-afe5-e99506948463 Måndag 13 juni 2022 Kl 17:15:15 localhost:4000
Metod: PATCH | statuskod: 200 | endpoint: /users/2653ad8f-6558-4dea-afe5-e99 Måndag 13 juni 2022 Kl 17:15:21 localhost:4000
